Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     42.45     0.00   400000     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00     42.45     0.00   400000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00     42.45     0.00   400000     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00     42.45     0.00   399676     0.00     0.00  int& std::__detail::_Identity::operator()<int&>(int&) const
  0.00     42.45     0.00   399676     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_v()
  0.00     42.45     0.00   399676     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00     42.45     0.00   399662     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_eq() const
  0.00     42.45     0.00   399662     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node<int, false>*) const
  0.00     42.45     0.00   399662     0.00     0.00  std::__detail::_Equal_helper<int, int, std::__detail::_Identity, std::equal_to<int>, unsigned long, false>::_S_equals(std::equal_to<int> const&, std::__detail::_Identity const&, int const&, unsigned long, std::__detail::_Hash_node<int, false>*)
  0.00     42.45     0.00   399662     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true> const&)
